project_type,project_size,project_duration,task_name,task_description,task_duration
Commercial,4290,549,Finishing,Together floor mention many style mother stay person analysis source side rest.,18
Infrastructure,6047,269,Foundation,Character war interesting face gas fine question participant edge.,38
Commercial,3983,479,Plumbing,They mention pressure bed no similar care form he attorney development government doctor this.,36
Infrastructure,844,411,Plumbing,Debate suggest term seven behavior fall thank even certainly role watch performance free.,59
Commercial,4114,621,Structural Framing,Know yes ok as garden upon natural politics himself new.,28
Infrastructure,7057,455,Plumbing,Begin south idea letter spend maybe.,43
Commercial,6930,702,Electrical,Remember effect idea explain design idea food.,59
Residential,7512,707,Roofing,Individual south financial fear leave apply new take entire it.,41
Industrial,700,291,Roofing,Head present more likely through.,40
Residential,6862,340,Foundation,Lose if guess lead because until serious instead strong any center according first rise describe us take mind recently.,36
Industrial,4161,317,Structural Framing,Maybe manage new agree economic official old prove partner yourself area.,40
Infrastructure,2162,701,Foundation,Only front fund late whom.,57
Industrial,7694,314,Excavation,Writer as stand single she floor reduce rest nothing keep of loss peace fact such industry trouble.,25
Commercial,4914,671,Foundation,Fine major sit then learn finally although able suggest lay.,23
Commercial,5873,212,Structural Framing,Hear school employee speech born throw middle impact how executive.,49
Infrastructure,3289,427,Structural Framing,Including me push read several page remain.,10
Infrastructure,3284,534,Finishing,Song size environment protect again position child left at theory rich.,36
Commercial,1880,197,Roofing,Firm red group month single sound choice bed worker industry child get one.,40
Residential,4998,390,Electrical,Early Democrat on certain then commercial environment people.,10
Infrastructure,6204,242,Exterior Cladding,But service outside scientist already student simply plan current decision activity.,21
Residential,7332,264,Structural Framing,Even near above down international movie sign somebody imagine.,9
Commercial,7565,280,Finishing,International should hope opportunity onto thousand stuff these forward building clearly.,22
Commercial,7962,388,Exterior Cladding,Late far inside whose address he expert concern.,9
Residential,6154,320,Exterior Cladding,Information billion enough stand clear draw one list.,58
Infrastructure,2616,349,Structural Framing,During maintain out ago institution.,28
Infrastructure,6422,522,Excavation,Share finally recognize impact the special member box.,11
Industrial,3251,481,Plumbing,Animal goal politics value history sister prove structure their run everything.,37
Commercial,2394,213,Electrical,Sense huge knowledge school want soon size above his five challenge way weight.,16
Commercial,6791,629,Roofing,Dog course last husband tend join position of wind word build news front study camera different anything beautiful serve.,43
Residential,9571,523,Foundation,Above certain other scientist pay response.,21
Residential,3547,546,Excavation,Police former understand forget recently return today often.,48
Industrial,7671,346,Roofing,Which especially consumer theory at ready participant name general serve resource might.,12
Residential,3385,537,Exterior Cladding,Of meet position upon early those young plan treatment.,51
Commercial,3810,494,Structural Framing,Military data hold level bag water mean radio.,14
Commercial,1009,517,Excavation,That or analysis exactly your seek western executive lawyer defense.,27
Residential,5640,274,Finishing,Seat exist just discover officer property more catch these lawyer.,26
Commercial,1456,345,Excavation,Sort Republican over arm old.,53
Industrial,885,445,Electrical,Reduce lose region total series onto hot both glass tax growth pull guy.,47
Residential,3100,655,Electrical,Ground look wind animal debate citizen here nor degree low wish.,57
Infrastructure,5271,593,Exterior Cladding,Read quite kind natural keep sort talk but dark.,48
Infrastructure,3940,581,Electrical,Minute morning response others list PM author key political enough.,24
Commercial,9860,603,Structural Framing,Wait inside within eye answer majority walk seek heavy a.,21
Infrastructure,5881,474,Foundation,Glass them PM song defense soldier card event shoulder big brother age force green something.,52
Industrial,1403,538,Roofing,Movement truth face eat admit somebody million hospital result although back southern.,35
Infrastructure,3964,438,Structural Framing,Can goal entire throw situation color.,34
Commercial,5349,455,Exterior Cladding,Order Congress note page.,2
Industrial,1824,408,Electrical,Mouth political center section billion seek respond her agreement quite entire any artist lose position unit garden.,31
Infrastructure,8120,455,Exterior Cladding,Similar kind home approach style.,21
Commercial,9004,215,Excavation,We total evidence back nor free movie everyone hope respond.,36
Infrastructure,1951,639,Plumbing,Beat something business look truth serve catch heavy hit writer control blood occur cup foreign size put list.,21
Infrastructure,3089,402,Electrical,Green development rather seek race than stock pressure continue idea entire less certain.,39
Industrial,1886,569,Foundation,Win all good successful indicate against poor strategy area different very control.,52
Infrastructure,4445,630,Excavation,Future whom newspaper country thank study defense identify information image each gun need partner.,4
Commercial,8103,405,Finishing,Crime rule significant although fish.,41
Commercial,2172,477,Foundation,Once generation almost finish none now bag per.,54
Commercial,8961,638,Structural Framing,Safe Mr care Mr successful.,55
Infrastructure,5651,292,Electrical,Still commercial impact but image hot if.,45
Industrial,7428,605,Plumbing,Field peace rule born worker north space hear weight pay family federal.,31
Commercial,5047,526,Electrical,Decade choose certain possible heart bad city worker point serious character.,55
Residential,8281,698,Plumbing,Practice billion how lose entire.,5
Industrial,8971,712,Roofing,Civil few bag population son great investment whole.,10
Commercial,7089,717,Plumbing,Receive subject compare citizen.,20
Industrial,6869,311,Finishing,Recognize situation memory book move woman not probably quickly.,25
Residential,8332,248,Structural Framing,Address politics skill line fly along I.,41
Infrastructure,7714,534,Electrical,Trouble agree training probably catch.,59
Commercial,5868,570,Structural Framing,Health wait thousand car direction difference article model without appear culture exactly this American agent answer north risk left.,36
Residential,4706,590,Foundation,Capital bar meeting information choice rich without service heart ever two first power process shoulder minute here letter.,12
Residential,4576,653,Excavation,Mention me rise available moment environmental our practice may professional result civil.,24
Residential,7669,284,Electrical,Scientist debate catch degree agency child remember southern behavior girl such budget.,6
Industrial,9664,568,Plumbing,Doctor strong agency point cost like room force material doctor.,12
Infrastructure,4196,352,Finishing,Argue part green significant exist summer affect day write position player every.,31
Commercial,9936,296,Foundation,Politics may almost bar including one trip benefit campaign experience soon away scientist.,6
Residential,5512,417,Electrical,Range grow condition remember wish.,45
Industrial,4829,529,Excavation,Wonder claim find finish sing over lead step series throw how establish bank effort.,24
Residential,2550,323,Plumbing,Mind treatment others next art effort social standard drop home life enter customer life.,24
Infrastructure,7917,341,Structural Framing,Charge cut address subject Republican reveal stop lead lead rule respond seat.,41
Industrial,8762,209,Exterior Cladding,Research mouth customer black treatment near fire hear suffer will from word blue away law and director.,8
Industrial,2549,349,Roofing,Bit institution senior sport go growth career.,20
Industrial,1742,453,Foundation,World office why have tree statement relate around take traditional let wonder place too.,59
Infrastructure,8319,314,Roofing,Last police change majority may so result far next agreement likely police concern system.,15
Industrial,2830,482,Foundation,Effort huge affect he minute raise score ok so would bed seek environment.,7
Residential,8732,635,Plumbing,Movie off clearly hair page worry arrive above science continue.,57
Commercial,9966,491,Exterior Cladding,Serious how performance cold.,17
Residential,6861,343,Plumbing,Down early mind letter admit be can everybody collection station.,32
Commercial,9655,349,Exterior Cladding,Allow want compare economy hope instead end after lose candidate beautiful.,44
Infrastructure,8321,665,Plumbing,Anything space range carry without street full so Democrat security.,53
Industrial,8226,366,Roofing,Product receive serious system camera public human would fall or.,54
Industrial,1093,283,Structural Framing,Baby design past protect short boy leader suddenly hard nice.,4
Infrastructure,2247,408,Finishing,My edge may record forward north mention.,9
Commercial,4859,585,Roofing,Well job information he experience benefit set city.,42
Infrastructure,4126,194,Roofing,Improve show face inside analysis remain we building bring do clearly put.,42
Infrastructure,7534,227,Plumbing,Share sort short job behind everyone opportunity son left cover seat break billion year.,6
Infrastructure,2505,297,Finishing,Seat force performance happy road outside.,15
Residential,3035,565,Foundation,Law worker already by nothing drive it statement production capital.,11
Infrastructure,3453,249,Roofing,Try market outside attack red resource staff front future.,9
Residential,1423,204,Plumbing,Situation kitchen board operation here assume increase none lead career.,16
Commercial,9307,629,Electrical,Effect region affect wind green determine choose positive week rate agreement black.,9
Infrastructure,5530,400,Electrical,During relationship man nearly garden present newspaper.,43
Residential,5832,371,Finishing,Majority number staff morning carry accept lay.,5
Infrastructure,1844,356,Electrical,Whatever ago knowledge fly north development loss stop.,54
Infrastructure,4572,339,Structural Framing,Market live paper write as expert decision art.,7
Commercial,6851,679,Excavation,Bag form amount behind these item person.,59
Infrastructure,6889,600,Electrical,Either option pull population career continue fast social conference.,42
Residential,1590,394,Foundation,Way nature since interesting.,47
Residential,2537,626,Excavation,Occur court always might fight court face last.,3
Residential,8868,418,Electrical,Include daughter them economy want ball magazine station.,58
Commercial,4019,497,Finishing,Chance be conference hit clearly site plant avoid own measure power century employee recognize avoid example course air decide act interest.,42
Infrastructure,9903,399,Excavation,Value kid night someone future onto certain pick spring man.,9
Commercial,8032,568,Roofing,Then always reflect able place land future couple ago operation should size finish.,41
Industrial,6809,723,Exterior Cladding,On beautiful measure six career politics bank life now.,49
Residential,1289,342,Excavation,Quickly mission consumer ready suddenly college situation population follow home step wall.,5
Residential,8782,284,Roofing,Fly process these model word tell citizen night reduce threat recently impact phone big job forward action east eight.,51
Infrastructure,5962,532,Plumbing,Follow include shoulder specific manager.,45
Industrial,7042,551,Exterior Cladding,Choice skin section anyone father Republican chair paper.,52
Infrastructure,555,428,Plumbing,House ground officer side material everyone treat well artist involve second.,17
Residential,3594,182,Electrical,Artist song stage try task.,52
Infrastructure,6532,381,Roofing,Together partner mission network seem north occur everyone remember response adult way around.,59
Infrastructure,6078,657,Finishing,Court have most anything full movement believe entire.,55
Infrastructure,4353,248,Excavation,Senior actually decide show account face.,50
Infrastructure,7123,473,Roofing,Week letter argue measure by.,37
Commercial,7983,705,Roofing,Member politics cultural north research everything seven poor fly parent.,47
Infrastructure,928,655,Excavation,Mission figure information beyond change audience entire skin.,4
Infrastructure,8111,187,Finishing,Treatment force it whom new common can popular star week data.,9
Industrial,796,259,Structural Framing,Season evening also husband prevent there require marriage training past team economic.,30
Commercial,4205,382,Plumbing,Hear maybe building.,14
Industrial,7521,508,Finishing,Knowledge scientist bad attorney price approach second go similar this before race.,47
Industrial,6692,679,Roofing,Inside reality student mention appear trade already reduce difficult.,10
Commercial,6653,581,Structural Framing,Purpose dog cup establish rather career girl arrive describe resource central personal.,26
Infrastructure,8966,374,Roofing,Church boy middle learn physical party buy side town to book perhaps.,25
Residential,8432,207,Electrical,Again manage large daughter create ok cover life improve deal.,52
Industrial,4001,560,Roofing,Marriage know them player onto it develop shake dog past speak data common pretty anything body watch participant.,58
Industrial,4148,205,Plumbing,Exactly answer different compare response hot customer avoid cultural interesting plant brother crime although morning eight.,30
Industrial,2221,203,Exterior Cladding,Keep hair so indicate cost kind now poor hold writer.,55
Commercial,6440,228,Finishing,Benefit catch ability challenge year behavior receive rock data.,15
Residential,3798,180,Foundation,Blood over window traditional their.,17
Industrial,7941,328,Electrical,Fast pay anyone situation grow someone agreement.,49
Industrial,7289,421,Plumbing,Left kind born music believe.,10
Infrastructure,5250,305,Roofing,Dog serious year order heart reason listen culture let eat bit music step.,27
Industrial,8827,603,Foundation,Environment return avoid scientist carry style candidate federal begin expert upon night morning character thought.,33
Infrastructure,7670,286,Finishing,Light when whether anyone himself industry without series buy approach recognize total feel picture be professor wall maintain.,56
Infrastructure,1579,475,Roofing,Seat avoid about these ground debate throw part blood candidate current.,23
Industrial,5758,722,Structural Framing,Personal year write green.,36
Infrastructure,8916,598,Roofing,Amount culture person dream sign war future bank available growth wall cold coach.,16
Commercial,8723,259,Structural Framing,Business authority wonder easy look television magazine energy improve minute.,10
Infrastructure,8308,541,Foundation,Represent scene style in city because walk loss minute.,40
Infrastructure,6640,586,Exterior Cladding,Resource food almost another create summer capital politics stay worker again develop.,24
Commercial,654,637,Electrical,Begin though pay another mother high age same loss.,41
Residential,4887,256,Plumbing,Reason garden everything travel sport support into industry wonder necessary.,3
Residential,9828,573,Exterior Cladding,Manager issue purpose keep enjoy available discussion goal can heavy foreign police southern lawyer she indicate page.,34
Residential,8687,183,Foundation,Serious man mind pull foot.,3
Infrastructure,3804,474,Roofing,Reach Republican something drive upon floor.,17
Residential,2563,578,Foundation,Report parent stage network head able area.,5
Infrastructure,3098,383,Exterior Cladding,Window play get impact because record third would including.,57
Residential,8291,252,Structural Framing,Various rule table movie.,17
Commercial,2838,215,Electrical,Machine can no office ability.,14
Commercial,8824,633,Structural Framing,True see finish station than produce condition carry them involve mention name woman friend wait movie community.,56
Infrastructure,1932,513,Exterior Cladding,Short beat present site raise we ready.,49
Commercial,1129,286,Foundation,Most common glass little record.,42
Infrastructure,9967,501,Exterior Cladding,Husband large worker finally couple seek dinner send stuff defense page a.,19
Residential,5424,629,Exterior Cladding,Theory suddenly not paper speak game man successful who local.,34
Residential,4949,202,Structural Framing,Peace development public occur arm some understand where find up environmental account agent more similar here.,24
Residential,2475,435,Electrical,Possible task suggest chair consumer nice city fall international move significant mission wear business someone difficult energy.,45
Industrial,9525,709,Plumbing,Him pretty decide nor try suddenly.,15
Residential,1720,196,Electrical,Crime responsibility growth this just next civil data.,4
Infrastructure,4084,455,Excavation,Establish surface your support available result safe point in them right admit.,30
Residential,864,407,Plumbing,Director authority feeling building line try dark itself consider main number seat see.,52
Commercial,3936,424,Roofing,Option party would run former down relate not weight why natural.,47
Residential,5798,400,Plumbing,Professional three large open group enter to report form end.,5
Industrial,3404,401,Finishing,Serve human recent upon old project place itself tend.,21
Residential,9754,425,Excavation,Stock son century blood professor interesting wear drug.,3
Infrastructure,4523,250,Foundation,Everyone add lot grow nearly cut seven everyone you rest floor home method when culture like staff care attack.,9
Industrial,1307,721,Finishing,Where into capital despite set term off process process.,9
Industrial,6862,529,Roofing,Go campaign often help that subject young someone part traditional middle course ability speech.,10
Infrastructure,2462,665,Electrical,Woman resource this remember foot subject suggest sometimes very.,1
Residential,4657,589,Plumbing,Sound deal us easy own.,11
Residential,8267,595,Excavation,Game month professor sense manager ahead size provide response shake.,20
Infrastructure,1097,501,Finishing,Time art your true break plan himself east.,51
Commercial,3319,483,Roofing,Eat until open them start building among.,29
Commercial,8403,666,Structural Framing,Fire scientist reflect interview owner capital.,13
Industrial,8464,595,Foundation,Ability last nothing machine loss.,29
Industrial,9052,684,Electrical,Skill for loss find social pretty trip.,23
Commercial,879,248,Roofing,Economic oil because view court alone turn may among.,14
Infrastructure,4933,709,Electrical,Ask identify energy strategy single either.,55
Industrial,9556,312,Excavation,Same well bad instead commercial view around program no who ball citizen win production data face majority.,7
Commercial,2203,530,Plumbing,Lot effect young special.,47
Residential,9867,183,Structural Framing,Yet structure major true relate policy power necessary land ok eight woman continue.,44
Commercial,5648,206,Plumbing,Life evidence house choice unit culture wall total federal discuss guess full detail fill data.,17
Industrial,2865,385,Plumbing,This whether every factor race game.,21
Commercial,2291,229,Foundation,Allow reflect source product face expect heavy nor.,13
Residential,8608,225,Excavation,Upon sense send interest together industry pressure several worker necessary.,5
Infrastructure,2526,578,Exterior Cladding,Short I difference attack.,4
Commercial,7501,406,Structural Framing,General newspaper race thousand thousand wait must morning like article we usually interview may watch ask claim.,24
Residential,5023,272,Exterior Cladding,Personal feel general push effect factor ground near.,52
Commercial,8226,336,Excavation,List people firm agent information may.,36
Infrastructure,5364,543,Foundation,Coach rate election some radio.,52
Residential,3300,307,Exterior Cladding,Single suddenly quickly after fear before lot understand general quality stage small plan nor trip.,14
Commercial,9599,381,Plumbing,Into page ready them lay over guy sister card.,55
Industrial,6414,515,Excavation,Approach happy choose spring project anyone strong level fill former such result begin figure safe on.,35
Industrial,4233,297,Excavation,Enjoy thing many mind player land eye interesting level a drop.,44
Industrial,5177,471,Plumbing,Social box director never option name style manage bank become.,15
Infrastructure,1385,189,Exterior Cladding,Girl institution no need power party.,15
Commercial,5797,523,Excavation,Role sit natural choice family home point Congress you cultural spring check political though doctor left whose including cover hope.,14
Residential,8571,360,Structural Framing,Whatever performance leg level character other upon guess drug material simple draw individual environmental why.,20
Commercial,9934,230,Foundation,Anyone itself interesting fill grow audience memory way leave remember our use.,36
Commercial,2023,338,Exterior Cladding,Heart party hear full who face bed our article south environmental address way power pattern quickly part.,1
Commercial,1462,726,Plumbing,Appear hotel exist on type several possible become prevent before research difficult across pattern child line sit.,60
Residential,9517,259,Exterior Cladding,Executive special exactly course party law down.,22
Commercial,4593,693,Foundation,Push leave great yet back mission position various.,54
Industrial,2911,678,Finishing,Note nation response international standard ago push region certainly where blue do huge.,42
Industrial,9948,652,Excavation,Each return site class truth summer west better recent really child series.,18
Infrastructure,4683,611,Finishing,Trip why walk nor particular painting worry again.,33
Industrial,5064,287,Plumbing,Former around maybe city executive.,35
Infrastructure,4291,388,Roofing,Nearly idea very international hair what several accept.,60
Commercial,8454,564,Exterior Cladding,Few name director once civil ago above investment.,13
Industrial,987,409,Exterior Cladding,Before science grow history necessary field interview responsibility should far her.,12
Infrastructure,6764,623,Excavation,Consider several five east something owner certain piece.,20
Infrastructure,9065,387,Finishing,Fly hospital scene market second well marriage company rise for by own themselves foreign national character.,26
Commercial,4381,457,Electrical,Various wait writer next woman.,30
Infrastructure,7325,287,Electrical,Design cover become customer measure share law response life may however.,30
Residential,1658,273,Plumbing,Local outside try research believe summer decade wrong.,12
Infrastructure,9985,694,Foundation,Become every evidence event apply voice spring it imagine key.,4
Commercial,4982,441,Structural Framing,Happy citizen quite former also player letter agency.,24
Commercial,9605,426,Electrical,Step end away want plan ten sell news president almost stuff.,59
Industrial,3480,413,Finishing,Also natural look father through.,57
Infrastructure,1104,184,Exterior Cladding,Form we bed industry any nor program bar another lawyer quality little.,22
Industrial,5198,648,Finishing,Difficult hot image new somebody three human too smile course his important seven major.,7
Residential,9663,516,Plumbing,Quickly despite that provide move energy analysis civil situation relationship safe.,60
